Order Date,Product Name,Category,Region,Unit_cost,Quantity,cost,Sales,Profit
11/8/2016,Bush Somerset Collection Bookcase,Furniture,South,110,2,220,262,42
11/8/2016,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,South,171,3,512,732,220
6/12/2016,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,West,4,2,8,15,7
10/11/2015,Bretford CR4500 Series Slim Rectangular Table,Furniture,South,268,5,1341,958,383
10/11/2015,Eldon Fold 'N Roll Cart System,Office Supplies,South,10,2,20,22,3
6/9/2014,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,West,5,7,35,49,14
6/9/2014,Newell 322,Office Supplies,West,1,4,5,7,2
6/9/2014,Mitel 5320 IP Phone VoIP phone,Technology,West,136,6,816,907,91
6/9/2014,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,West,4,3,13,19,6
6/9/2014,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,West,16,5,80,115,34
6/9/2014,Chromcraft Rectangular Conference Tables,Furniture,West,180,9,1621,1706,85
6/9/2014,Konftel 250 Conference phone - Charcoal black,Technology,West,211,4,843,911,68
4/15/2017,Xerox 1967,Office Supplies,South,3,3,10,16,5
12/5/2016,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,West,92,3,275,408,133
11/22/2015,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Central,39,5,193,69,124
11/22/2015,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Central,2,3,6,3,4
11/11/2014,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Central,109,6,653,666,13
5/13/2014,Fellowes Super Stor/Drawer,Office Supplies,West,23,2,46,56,10
8/27/2014,Newell 341,Office Supplies,West,3,2,6,9,2
8/27/2014,Cisco SPA 501G IP Phone,Technology,West,66,3,197,213,16
8/27/2014,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,West,4,4,15,23,7
12/9/2016,Newell 318,Office Supplies,Central,2,7,14,19,5
12/9/2016,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Central,6,7,45,60,16
7/16/2017,"Global Deluxe Stacking Chair, Gray",Furniture,East,36,2,72,71,1
9/25/2015,Bretford CR4500 Series Slim Rectangular Table,Furniture,West,268,3,804,1045,240
1/16/2016,Wilson Jones Active Use Binders,Office Supplies,West,4,2,7,12,4
1/16/2016,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,West,26,3,79,91,12
9/17/2015,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,East,678,7,4748,3083,1665
9/17/2015,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,East,8,2,17,10,7
9/17/2015,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,East,36,3,109,124,16
9/17/2015,Poly String Tie Envelopes,Office Supplies,East,1,2,2,3,1
9/17/2015,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,East,13,6,77,86,10
9/17/2015,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,East,2,6,13,7,6
9/17/2015,Lumber Crayons,Office Supplies,East,6,2,12,16,4
10/19/2017,Easy-staple paper,Office Supplies,Central,7,3,20,29,10
12/8/2016,GE 30524EE4,Technology,Central,139,7,974,1098,123
